CONFIDENCE LEVEL DEFINITIONS,,,,,,,,,,
,Critical,"Cannot operate/launch without it. Required for legal compliance, core infrastructure, or safety-critical features. Budget immediately (0-3 months).",,,,,,,,
,High,"Needed for quality, compliance, or scale. Professional services at user milestones. Plan within 6-12 months or triggered by growth.",,,,,,,,
,Medium,"Beneficial but timing is flexible. Marketing tools (wait for revenue), enhanced features, professional services (can DIY initially). Plan 12-24 months or revenue-triggered.",,,,,,,,
,Low,"Speculative or far-future. Enterprise features, international expansion, significant team scaling. Consider only at 24+ months or major pivot.",,,,,,,,
,,,,,,,,,,
Cost Category,Cost Description,Cost Type,Frequency,User Tier,Monthly Cost,Annual Cost,Calculated Annual Cost,Confidence,Notes,Research More
Business Development,Networking Events,Variable,Ongoing,All, $-   , $-   , $-   ,Low,"Local tech/startup meetups, mental health networking. Post-revenue. Optional.",
Business Development,Industry Memberships,Fixed,Ongoing,All, $-   , $200.00 , $200.00 ,Low,"Mental Health America, philosophy associations, app developer groups. Annual memberships. Post-revenue. Optional.",
Compliance & Security,Pre-Launch Legal Package (Bundled),Fixed,One-time,All, $-   , $0-500 , $500.00 ,Critical,"AI-assisted legal package... | Minimal legal package: AI drafts Privacy Policy, ToS, disclaimers ($0). Optional 1-hr lawyer review for sanity check ($300-500). HIPAA consultation unnecessary - architecture already confirms no PHI transmission. Full legal review deferred until revenue/scale justifies. Most indie apps launch with $0 legal spend.",
Compliance & Security,Security Audits (Pre-Launch),Fixed,One-time,All, $-   , $0-500 , $-   ,Critical,"AI-assisted security audit... | DIY security validation: Free tools (Snyk, GitHub Dependabot, CodeQL) + AI code review ($0). Supabase and Expo provide infrastructure security. AES-256-GCM encryption already implemented. Optional: 1-2 hr professional spot-check on encryption ($300-500). Full audit deferred until scale/enterprise needs. Most indie apps launch with $0 audit spend.",
Compliance & Security,User Consent Management System (Implementation),Fixed,One-time,All, $-   , $-   , $-   ,Critical,"Affirmative opt-in consent UI (CCPA/VCDPA requirement for sensitive health data), consent audit trail, legal review of consent language. Launch requirement.",
Compliance & Security,Security Audits (Annual),Variable,Ongoing,All, $-   , $1500-3000 ," $2,500.00 ",High,"Annual security audit, post-major-release reviews... | AI-assisted annual audit: AI pre-scan + human expert review. Every 18-24 months after Year 1. AI tools reduce scope and cost by 30-50% compared to traditional audits. Quality and compliance maintenance.",
Compliance & Security,Legal Counsel (Ongoing),Variable,Ongoing,All, $-   , $2000-2500 ,"$2,250 ",High,"Consolidated ongoing legal services: (1) Quarterly privacy policy reviews and state law monitoring (CCPA/VCDPA updates); (2) App Store privacy label updates for new features (Privacy Nutrition Label, Data Safety Section); (3) Regulatory change reviews; (4) Ad-hoc consultations as needed. Hourly rate model ($300-500/hr, ~5-8 hrs/year) more cost-effective than retainer for solo dev. Replaces separate Privacy Law Compliance, App Store Privacy Compliance, and Legal Counsel line items.",
Compliance & Security,Data Breach Response Planning (Initial),Fixed,One-time,All, $-   , $300-700 , $500.00 ,High,"Incident response plan development... | AI-assisted IR planning: AI drafts incident response plan, breach notification templates, vendor coordination procedures. Security expert reviews and validates - $300-700 (1-2 hrs). Should have before significant user base.",
Compliance & Security,Compliance Monitoring Tools,Fixed,One-time,All, $-   ,  $0-1000  ,  $0-1000  ,High,"k-anonymity validation library, differential privacy implementation, PHI detection system. Tooling cost: $0-1000 (OSS libraries). Development time AI-accelerable. Quality assurance.",
Compliance & Security,SOC 2 Certification,Fixed,Ongoing,All, $-   ,  $15000-50000  ,  $15000-50000  ,Low,NOT needed for consumer app. Annual certification cost if pursuing B2B/enterprise healthcare partnerships. Verify Supabase has SOC 2 Type II (no cost to Being).,
Compliance & Security,Data Breach Response Planning (Ongoing),Variable,Ongoing,All, $-   , $200-500 , $350.00 ,Medium,"Annual IR plan testing, plan updates for regulatory changes. Can reduce cyber insurance premiums by 10-20%. |AI-assisted IR maintenance: AI updates incident response plan for regulatory changes, generates test scenarios, refreshes notification templates. Human review 1-2 hrs/year - $200-500. Annual IR plan testing. Can reduce cyber insurance premiums by 10-20%",
Customer Support,Crisis Hotline Integration (988),Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,FREE government service. Native integration via tel: link. No external partnership needed. Continuous availability. Safety-critical feature.,
Customer Support,Knowledge Base / Help Center,Fixed,One-time,All, $-   , $-   , $-   ,Low,"Future feature. In-app help, FAQs, troubleshooting guides. Development time (your time). Nice-to-have.",
Customer Support,Support Tools (Zendesk),Fixed,Ongoing,5K+ users, $0-49 , $-   , $300.00 ,Medium,"NOT currently integrated. Recommended at 5K+ users or $50K MRR. Zendesk Suite Team $49/agent/mo to Professional $99/agent/mo. | AI-first support strategy: Start with AI chatbot integration (Intercom Fin, Crisp AI, or custom Claude-based - $0-30/mo) for Tier 1 support. Escalate to Zendesk ($49-99/agent/mo) only when AI deflection rate insufficient. Recommended at 5K+ users or $50K MRR. AI-first approach may delay need to 10K+ users.",
Customer Support,Support Agent (0.5 FTE),Variable,Ongoing,10K+ users, $-   , $-   , $-   ,Medium,"Part-time support for user inquiries, technical issues. Scales with user base. Trigger: 5K users. | AI-augmented support model: AI handles Tier 1 inquiries (FAQs, basic troubleshooting, account issues). Human agent for Tier 2 escalations, complex issues, sensitive mental health concerns. AI-first strategy delays human support need. Trigger: 10K+ users (was 5K without AI). Scales with user base",
Customer Support,Email/Onboarding Automation,Fixed,Ongoing,1K+ users, $15.00 , $-   , $180.00 ,Medium,NOT currently implemented. Recommended for user retention. SendGrid Essentials $15/mo (40K emails) to Mailchimp $50/mo. Revenue-dependent.,
Design & UX,App Store Assets (Initial),Fixed,One-time,All, $-   , $0-500 , $-   ,Critical,"App icon ($100-500) + screenshots ($200-800) for iOS + Android. Consider DIY with Figma to reduce to $0. Launch requirement. One-time design. | AI-assisted App Store assets: App icon - AI generation (Midjourney/DALL-E $0-20) + Figma refinement, or freelancer ($100-500); Screenshots - AI-assisted mockup tools (Rotato, AppMockUp) + Canva AI ($0-100), or freelancer ($200-500). Total $0-500 with AI DIY vs $300-1,300 traditional. Launch requirement. One-time design.",
Design & UX,App Store Assets (Updates),Variable,Ongoing,All, $-   , $200-400 , $300.00 ,High,Updates per major release (2-4/year). $100-300 per update. Quality maintenance. AI tools can reduce to $50-150/update (same tools as initial assets),
Design & UX,Brand Identity (Initial),Fixed,One-time,All, $-   ,  $0-1000  , $300.00 ,High,"Freelancer for logo suite... | AI-assisted branding: $0 DIY with AI tools (Midjourney/DALL-E for concepts, Looka/Canva AI for logo, Coolors for palette) to $500-1,000 freelancer for professional polish. Basic brand guidelines for Stoic Mindfulness positioning. Phase 2 refinement $2K-5K optional. One-time branding work.",
Design & UX,Icon & Asset Libraries,Fixed,Ongoing,All, $10.00 , $-   , $120.00 ,Low,"Noun Project, IconScout. Optional for polish. React Native Vector Icons (FREE) sufficient.",
Design & UX,App Preview Video (Optional),Fixed,One-time,All, $-   ,  $0-1000  ,$200 ,Medium,"Optional but high ROI for App Store conversion... | AI-assisted video: $0-100 DIY with AI tools (CapCut AI, Runway, screen recording + AI voiceover) to $500-1,000 professional production. Optional but high ROI for App Store conversion. Can defer to post-launch. One-time production.",
Future Features,SQLite Migration (INFRA-37),Fixed,One-time,All, $-   , $-   , $-   ,High,Large effort (3-5 weeks solo dev time). NO additional tooling costs. Priority Score: 15.6 (HIGH). Enables all analytics features. Plan for 6-12 months. One-time migration project.,
Future Features,Advanced Account Features (FEAT-16),Fixed,Ongoing,All, $5.00 , $-   , $60.00 ,High,Email/password auth via Supabase Auth (FREE). Email delivery $0 (free tier 30K emails/mo) to $5/mo overage. XXL effort (8+ weeks). Blocks 3 features. Priority 2.5. Plan for 6-12 months. One-time development with potential ongoing email costs.,
Future Features,Web Application (FEAT-38) - Hosting,Fixed,Ongoing,All,  $15-65  , $-   ,#VALUE!,Medium,Vercel free + SendGrid free ($0-27/mo pre-revenue) OR Vercel Pro $20 + SendGrid $15 + domain ($40-65/mo post-revenue). For web subscriptions via Stripe. Priority Score: 0 (low urgency).,
Future Features,Web Application (FEAT-38) - Development,Fixed,One-time,All, $-   , $-   , $-   ,Medium,XXL effort (8+ weeks solo dev time). Your time = $0. Priority Score: 0 (low urgency). Defer until revenue justifies. One-time development project.,
Future Features,Domain-Specific Guidance (FEAT-55),Fixed,One-time,All, $-   , $-   , $-   ,Medium,Solo content development (FREE). XL effort (5-8 weeks). Priority 3.0. Content enhancement. One-time development.,
Future Features,Progress Measurement Dashboard (FEAT-56),Fixed,One-time,All, $-   , $-   , $-   ,Medium,Development time only. No additional infrastructure. Large effort. Priority 4.7. Feature enhancement. One-time development.,
Marketing & Growth,Analytics Tools (Privacy-First),Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,"ZERO COST. Custom privacy-preserving analytics (BAA-free, differential privacy Œµ=0.1, k-anonymity k‚â•5). NO third-party vendors (Amplitude, Mixpanel). Saves $2000-5000/month. Currently implemented.",
Marketing & Growth,Paid Acquisition (Ads),Variable,Ongoing,All, $-   , $-   , $-   ,Low,"No current ad SDK integration. Future if growth strategy includes paid channels (Apple Search Ads, Google, Meta). Budget when CAC economics justify.",
Marketing & Growth,Marketing Attribution,Variable,Ongoing,All, $-   , $-   , $-   ,Low,"NO attribution SDKs (Adjust, AppsFlyer, Branch). Privacy-first strategy. Future low priority.",
Marketing & Growth,Affiliate Program,Variable,Ongoing,All, $-   , $-   , $-   ,Low,Not in current codebase. Future feature if monetization strategy includes affiliates.,
Marketing & Growth,Events & Webinars,Fixed,Ongoing,All, $250.00 , $-   ," $3,000.00 ",Low,"User-facing marketing channel: virtual events, webinars, community building for Stoic Mindfulness education and user engagement. $0 pre-revenue (use free platforms like YouTube Live, Zoom free tier). Scale to $500/mo ($6K/yr) post-revenue for conference sponsorships, paid event platforms, speaker fees. Distinct from Professional Development (row 73) which is founder learning. Revenue-dependent - defer until product-market fit validated.",
Marketing & Growth,SEO & Content Marketing,Fixed,Ongoing,All, $-   , $-   , $-   ,Medium,"No current marketing infrastructure. Future pre-launch and ongoing content creation. Your time. Timing flexible. | AI-accelerated content marketing: AI assists with blog posts, social content, ASO keyword research, meta descriptions. Your time + AI = 3-5x content velocity vs manual. Tools: Claude for long-form, ChatGPT for ideation, Jasper/Copy.ai for marketing copy ($0 with free tiers). No current marketing infrastructure. Timing flexible.",
Operations & Admin,Accounting & Bookkeeping,Variable,Ongoing,All, $-   , $1000-2500 ,"$1,500 ",Critical,"Business accounting services including: tax preparation, financial reporting, bookkeeping. Base cost ~$1,000/yr for simple solo operation. Scales to $2,000-2,500/yr with increased transaction volume, payroll complexity, or multi-state tax filing. Required for business operation. Does not include bookkeeping software (separate row).",
Operations & Admin,Payment Processing (Apple IAP Commission),Variable,Ongoing,All,  15-30% of revenue  , $-   ,#VALUE!,Critical,"15% (subscriptions after year 1 for retained subscribers), 30% (monthly subscriptions). NOT separate processing fee, taken from revenue. Core revenue model.",
Operations & Admin,Payment Processing (Google Play Commission),Variable,Ongoing,All,  15-30% of revenue  , $-   ,#VALUE!,Critical,"15% (first $1M revenue/year), 30% (after $1M revenue/year). NOT separate processing fee. Core revenue model.",
Operations & Admin,Business Banking,Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,Business checking account monthly fees. Required for business operation.,
Operations & Admin,Bookkeeping Software,Fixed,Ongoing,All, $20.00 , $-   , $240.00 ,Critical,"QuickBooks Online, Xero, or Wave. Essential for financial management.",
Operations & Admin,Software Subscriptions (Core),Fixed,Ongoing,All, $30.00 , $-   , $360.00 ,Critical,"Microsoft 365 Business Standard (email, productivity), Notion (project management). Proton Pass & Proton VPN, Figma",
Operations & Admin,Corporate Filings & Compliance,Fixed,Ongoing,All, $-   , $175.00 , $175.00 ,Critical,"LLC annual reports, business licenses, registered agent fees. Legal requirement.",
Operations & Admin,Apple Developer Program,Fixed,Ongoing,All, $-   , $99.00 , $99.00 ,Critical,"Annual $99 fee. Required for App Store distribution, Sign in with Apple, TestFlight. Cannot launch without this.",
Operations & Admin,Google Play Console,Fixed,One-time,All, $-   , $25.00 , $25.00 ,Critical,One-time $25 fee. Required for Play Store distribution. Cannot launch Android without this.,
Operations & Admin,Business Insurance Package (Bundled),Fixed,Ongoing,All, $-   , $3500-4000 ,"$3,750 ",High,"Bundled business insurance package: (1) Cyber Insurance - data breach ($1M), privacy liability ($1M), network security ($500K); (2) General Liability - general business, professional liability, errors & omissions; (3) Directors & Officers (D&O) - liability protection for business decisions. Bundled rate saves 10-15% vs separate policies -- (unbundled: Cyber $1K + GL $1.5K + D&O $1.5K = $4K → bundled $3.5-4K). Scales with user base. Advisable for mental health app handling sensitive data.",
Operations & Admin,Contingency Buffer,Variable,Ongoing,All,10% total,  N/A  ,#VALUE!,High,"10% buffer for unexpected costs including: infrastructure failures, emergency fixes, variable cost spikes, seasonal fluctuations, growth surges. Apply to subtotal of all other costs. Prudent financial planning for solo founder.",
Operations & Admin,Employment Practices Liability (EPL),Fixed,Ongoing,All, $-   , $500.00 , $500.00 ,Low,Only needed when hiring employees. Annual premiums. Not relevant to solo dev model.,
Operations & Admin,Payment Processing (Stripe - Web),Variable,Ongoing,All,  2.9% + $0.30  , $-   ,#VALUE!,Medium,Implemented but not primary (IAP-first). For FEAT-38 (web subscriptions). Plus international card fees. Future feature.,
Operations & Admin,Phone/Communication,Fixed,Ongoing,All, $-   , $-   , $-   ,Medium,"$0 using personal phone initially. $50/mo for dedicated business line when revenue justifies. VoIP options (Google Voice free, Grasshopper $26/mo) available.",
Operations & Admin,Miscellaneous Operational Expenses,Variable,Ongoing,All,  $100-200  , $-   , $150.00 ,Medium,"Supplies, software licenses, unexpected operational costs. Buffer category.",
