DEVELOPMENT ROADMAP ITEMS,,,,,,
"Items excluded from Budget - no cash cost, development time or informational only",,,,,,
,,,,,,
Category,Item,Type,Priority,Effort,Status,Notes
Philosophical/Clinical,Content Development (Stoic Practices),Development,Critical,Large,"To Do","5 core principles, 4 developmental stages. Your time + AI."
Philosophical/Clinical,Developmental Stage Assessment Tools,Development,Critical,Medium,To Do,11 development markers for tracking user progress through 4 stages.
Philosophical/Clinical,Crisis Protocols (PHQ-9/GAD-7),Development,Critical,Medium,To Do,"Crisis detection thresholds (PHQ≥15, PHQ≥20, GAD≥15) and 988 integration."
Philosophical/Clinical,Clinical Assessment Validation,Development,Critical,Small,To Do,"PHQ-9/GAD-7 implementation accuracy validation (100% required). Automated testing."
Compliance & Security,User Consent Management System,Development,Critical,Medium,To Do,"Affirmative opt-in consent UI, consent audit trail. CCPA/VCDPA requirement."
Customer Support,Crisis Hotline Integration (988),Integration,Critical,Small,To Do,FREE government service. Native integration via tel: link. No external partnership needed.
Marketing & Growth,Analytics Tools (Privacy-First),Architecture Decision,Critical,Complete,Done,"Custom privacy-preserving analytics implemented. NO third-party vendors. Saves $2000-5000/mo."
Technology Infrastructure,GitHub (Version Control),Infrastructure,Critical,N/A,Active,Currently in use. Free for single developer.
Technology Infrastructure,Development Tools (TypeScript/Node/Jest),Infrastructure,Critical,N/A,Active,"Currently in use. All free/open-source tools."
Technology Infrastructure,SSL & Security Certificates,Infrastructure,Critical,N/A,Active,Included with Expo + Supabase.
Technology Infrastructure,Device Testing (Cloud),Infrastructure,Critical,N/A,Active,INCLUDED in EAS Build Production plan ($99/mo already budgeted).
Testing & QA,TestFlight & Beta Testing,Infrastructure,Critical,N/A,Active,Apple TestFlight FREE. Google Play Internal Testing FREE.
Team & Contractors,Solo Developer + AI-Assisted,Operating Model,Critical,N/A,Active,PRIMARY MODEL. Single developer with AI coding assistance.
Future Features,SQLite Migration (INFRA-37),Development,High,XL (3-5 weeks),Backlog,"Enables all analytics features. Priority Score: 15.6. Plan for 6-12 months."
Philosophical/Clinical,Crisis Protocol Updates,Development,High,Ongoing,Backlog,Updates to crisis detection as clinical standards evolve.
Future Features,Advanced Account Features (FEAT-16),Development,High,XXL (8+ weeks),Backlog,"Email/password auth via Supabase Auth (FREE). Auth emails via Resend custom SMTP (FREE tier). Blocks 3 features. Priority 2.5. No cash cost - pure dev time."
Future Features,Web Application Development (FEAT-38),Development,Medium,XXL (8+ weeks),Backlog,"Web subscriptions via Stripe. Priority Score: 0. Defer until revenue justifies."
Future Features,Domain-Specific Guidance (FEAT-55),Development,Medium,XL (5-8 weeks),Backlog,"Solo content development. Priority 3.0. Content enhancement."
Future Features,Progress Measurement Dashboard (FEAT-56),Development,Medium,Large,Backlog,"Development time only. No additional infrastructure. Priority 4.7."
Marketing & Growth,SEO & Content Marketing,Development,Medium,Ongoing,Backlog,"AI-accelerated content marketing. Blog posts, social content, ASO keywords."
Philosophical/Clinical,Content Updates (New Practices/Modules),Development,Medium,Ongoing,Backlog,User progression through developmental stages. Ongoing content evolution.
Philosophical/Clinical,Neuroscience Integration Updates,Development,Medium,Small,Backlog,"Updates to neuroscience justification (DMN, attention networks) as research evolves."
Testing & QA,Accessibility Testing Tools,Development,Medium,Small,Backlog,"WCAG AA compliance testing. Some free (React Native Accessibility), some paid."
Customer Support,Knowledge Base / Help Center,Development,Low,Medium,Backlog,"In-app help, FAQs, troubleshooting guides. Nice-to-have."
Business Development,Networking Events,Activity,Low,Ongoing,Deferred,"Local tech/startup meetups, mental health networking. Post-revenue."
Marketing & Growth,Paid Acquisition (Ads),Future Decision,Low,N/A,Deferred,"No current ad SDK integration. Budget when CAC economics justify."
Marketing & Growth,Marketing Attribution,Architecture Decision,Low,N/A,Deferred,"NO attribution SDKs (Adjust, AppsFlyer). Privacy-first strategy."
Marketing & Growth,Affiliate Program,Future Feature,Low,N/A,Deferred,Future feature if monetization strategy includes affiliates.
Operations & Admin,Business Banking,Infrastructure,Critical,N/A,Active,"Business checking account. Usually $0 monthly fees."
Operations & Admin,Phone/Communication,Infrastructure,Low,N/A,Deferred,"$0 using personal phone initially. Dedicated line when revenue justifies."
