Cost Category,Cost Description,Cost Type
Technology Infrastructure,  AWS/Cloud Hosting (Base),Fixed
Technology Infrastructure,  AWS/Cloud Hosting (Base),Variable
Technology Infrastructure,  AI API Costs (GPT-4/Claude),Variable
Technology Infrastructure,  Database & Storage,Fixed
Technology Infrastructure,  Database & Storage,Variable
Technology Infrastructure,  CDN & Media Delivery,Fixed
Technology Infrastructure,  CDN & Media Delivery,Variable
Technology Infrastructure,  Monitoring & Analytics,Fixed
Technology Infrastructure,  Development Tools,Fixed
Technology Infrastructure,  Third-party APIs,Fixed
Technology Infrastructure,  Third-party APIs,Variable
Technology Infrastructure,  SSL & Security Tools,Fixed
Clinical & Content,  Clinical Advisor (0.25 FTE),Fixed
Clinical & Content,  Content Development,Fixed
Clinical & Content,  Content Updates,Fixed
Clinical & Content,  Clinical Validation,Fixed
Clinical & Content,  Peer Review & QA,Fixed
Clinical & Content,  Crisis Protocols,Fixed
Clinical & Content,  Crisis Protocols,Variable
Compliance & Security,  HIPAA Compliance,Fixed
Compliance & Security,  HIPAA Compliance,Variable
Compliance & Security,  SOC 2 Certification,Fixed
Compliance & Security,  Data Privacy (GDPR/CCPA),Fixed
Compliance & Security,  Security Audits,Fixed
Compliance & Security,  Cyber Insurance,Fixed
Compliance & Security,  Legal Counsel,Fixed
Compliance & Security,  Terms & Privacy Updates,Fixed
Customer Support,  Support Tools (Zendesk),Fixed
Customer Support,  Support Agent (0.5 FTE),Variable
Customer Support,  Crisis Hotline Partner,Fixed
Customer Support,  Crisis Hotline Partner,Variable
Customer Support,  Community Management,Fixed
Customer Support,  Onboarding Automation,Fixed
Customer Support,  Onboarding Automation,Variable
Customer Support,  Knowledge Base,Fixed
Marketing & Growth,  SEO & Content Marketing,Fixed
Marketing & Growth,  Paid Acquisition,Fixed
Marketing & Growth,  Email Marketing,Variable
Marketing & Growth,  Analytics Tools,Fixed
Marketing & Growth,  Analytics Tools,Variable
Marketing & Growth,  Affiliate Program,Variable
Marketing & Growth,  Events & Webinars,Fixed
Operations & Admin,  Accounting & Bookkeeping,Fixed
Operations & Admin,  Accounting & Bookkeeping,Variable
Operations & Admin,  Payment Processing,Variable
Operations & Admin,  Business Insurance,Fixed
Operations & Admin,  Software Subscriptions,Fixed
Operations & Admin,  Software Subscriptions,Variable
Operations & Admin,  Corporate Filings,Fixed
Operations & Admin,  Contingency,Fixed
Operations & Admin,  Contingency,Variable
