CONFIDENCE LEVEL DEFINITIONS,,,,,,,,,
,Critical,"Cannot operate/launch without it. Required for legal compliance, core infrastructure, or safety-critical features. Budget immediately (0-3 months).",,,,,,,
,High,"Needed for quality, compliance, or scale. Professional services at user milestones. Plan within 6-12 months or triggered by growth.",,,,,,,
,Medium,"Beneficial but timing is flexible. Marketing tools (wait for revenue), enhanced features, professional services (can DIY initially). Plan 12-24 months or revenue-triggered.",,,,,,,
,Low,"Speculative or far-future. Enterprise features, international expansion, significant team scaling. Consider only at 24+ months or major pivot.",,,,,,,
,,,,,,,,,
Cost Category,Cost Description,Cost Type,Frequency,User Tier,Monthly Cost,Annual Cost,Calculated Annual Cost,Trigger,Notes
Operations & Admin,Apple Developer Program,Fixed,Ongoing,All, $-   ,$99.00 ,$99.00 ,Launch,"Annual $99 fee. Required for App Store distribution, Sign in with Apple, TestFlight. Cannot launch without this."
Operations & Admin,Google Play Console,Fixed,One-time,All, $-   ,$25.00 ,$25.00 ,Launch,One-time $25 fee. Required for Play Store distribution. Cannot launch Android without this.
Operations & Admin,Bookkeeping Software,Fixed,Ongoing,All,$20.00 , $-   ,$240.00 ,Launch,"QuickBooks Online, Xero, or Wave. Essential for financial management."
Operations & Admin,Software Subscriptions (Core),Fixed,Ongoing,All,$30.00 , $-   ,$360.00 ,Launch,"Microsoft 365 Business Standard (email, productivity), Notion (project management). Proton Pass & Proton VPN, Figma"
Operations & Admin,Corporate Filings & Compliance,Fixed,Ongoing,All, $-   ,$175.00 ,$175.00 ,Launch,"LLC annual reports, business licenses, registered agent fees. Legal requirement."
Operations & Admin,Accounting & Bookkeeping,Variable,Ongoing,All, $-   , $1000-2500 ,"$1,500 ",Launch,"Business accounting services including: tax preparation, financial reporting, bookkeeping. Base cost ~$1,000/yr for simple solo operation. Scales to $2,000-2,500/yr with increased transaction volume, payroll complexity, or multi-state tax filing."
Operations & Admin,Payment Processing (Apple IAP Commission),Variable,Ongoing,All,15-30% of revenue, $-   ,% of revenue,Revenue,"15% (subscriptions after year 1 for retained subscribers), 30% (monthly subscriptions). NOT separate processing fee, taken from revenue."
Operations & Admin,Payment Processing (Google Play Commission),Variable,Ongoing,All,15-30% of revenue, $-   ,% of revenue,Revenue,"15% (first $1M revenue/year), 30% (after $1M revenue/year). NOT separate processing fee."
Technology Infrastructure,AI Coding Assistant (Cursor/Claude),Fixed,Ongoing,All,$100.00 , $-   ,"$1,200 ",Launch,PRIMARY development tool for single developer + AI-assisted model. Currently in use. Essential for productivity.
Technology Infrastructure,Expo EAS Build (Production Plan),Fixed,Ongoing,All,$99.00 , $-   ,"$1,188 ",Launch,Required for production deployment. Includes unlimited builds + EAS Update (OTA) + Device Cloud testing. No separate OTA cost.
Technology Infrastructure,Supabase Database & Storage,Fixed,Ongoing,All, $0-25 , $-   ,$0 ,10K users,"Free tier ($0) - 500MB DB + 2GB bandwidth/mo, supports 10K users/300 DAU. Pro tier ($25/mo, $300/yr) at 10K-100K users."
Technology Infrastructure,GitHub Actions (CI/CD),Fixed,Ongoing,All, $0-12 , $-   ,$0 ,5K users,"Free tier ($0) - 2,000 minutes/mo, sufficient for 0-5K users. Paid tier ($12/mo) when exceeding limits."
Compliance & Security,Pre-Launch Legal Package,Fixed,One-time,All, $-   , $0-500 ,$300 ,Launch (optional),"Minimal legal package: AI drafts Privacy Policy, ToS, disclaimers ($0). Optional 1-hr lawyer review ($300-500). Most indie apps launch with $0."
Compliance & Security,Security Audits (Pre-Launch),Fixed,One-time,All, $-   , $0-500 ,$0 ,Launch (optional),"DIY security validation: Free tools (Snyk, Dependabot, CodeQL) + AI code review. Optional professional spot-check ($300-500)."
Design & UX,App Store Assets (Initial),Fixed,One-time,All, $-   , $0-500 ,$0 ,Launch (optional),"AI-assisted: App icon (Midjourney/DALL-E $0-20) + Screenshots (Rotato, Canva AI $0-100). Or freelancer $300-500."
Compliance & Security,Security Audits (Annual),Variable,Ongoing,All, $-   , $1500-3000 ,"$2,500 ",Year 1+,AI-assisted annual audit: AI pre-scan + human expert review. Every 18-24 months after Year 1.
Compliance & Security,Legal Counsel (Ongoing),Variable,Ongoing,All, $-   , $2000-2500 ,"$2,250 ",Year 1+,"Consolidated: Quarterly privacy reviews, App Store label updates, regulatory monitoring, ad-hoc consultations. ~5-8 hrs/year at $300-500/hr."
Compliance & Security,Data Breach Response Planning (Initial),Fixed,One-time,All, $-   , $300-700 ,$500 ,Pre-scale,"AI-assisted: AI drafts IR plan, breach notification templates. Expert review 1-2 hrs."
Compliance & Security,Compliance Monitoring Tools,Fixed,One-time,All, $-   , $0-1000 ,$500 ,Pre-scale,"k-anonymity validation, differential privacy, PHI detection. OSS libraries $0-1000."
Operations & Admin,Business Insurance Package (Bundled),Fixed,Ongoing,All, $-   , $3500-4000 ,"$3,750 ",Year 1,"Bundled: Cyber Insurance ($1M breach), General Liability, D&O. Bundled saves 10-15%."
Operations & Admin,Contingency Buffer,Variable,Ongoing,All,10% of total, N/A ,10% of subtotal,Ongoing,"10% buffer for unexpected costs, infrastructure failures, emergency fixes."
Technology Infrastructure,Error Monitoring (Sentry),Fixed,Ongoing,All, $0-29 , $-   ,$0 ,1K users,"Free tier: 5K events/mo (0-1K users). Team tier ($29/mo, $348/yr) at 1K-10K users."
Design & UX,App Store Assets (Updates),Variable,Ongoing,All, $-   , $200-400 ,$300 ,Ongoing,Updates per major release (2-4/year). $50-150/update with AI tools.
Design & UX,Brand Identity (Initial),Fixed,One-time,All, $-   , $0-1000 ,$300 ,Launch (optional),AI-assisted: DIY with Midjourney/Looka/Canva AI ($0) to freelancer polish ($500-1000).
Compliance & Security,Data Breach Response Planning (Ongoing),Variable,Ongoing,All, $-   , $200-500 ,$350 ,Year 2+,"AI-assisted: AI updates IR plan, generates test scenarios. Human review 1-2 hrs/year."
Customer Support,Support Tools,Fixed,Ongoing,5K+ users, $0-49 , $-   ,$0 ,5K users,AI-first: Start with AI chatbot ($0-30/mo). Escalate to Zendesk ($49/mo) if needed.
Technology Infrastructure,Email Services (Resend),Fixed,Ongoing,All, $0-20 , $-   ,$0 ,1K users,"Resend for all email: auth (via Supabase custom SMTP), transactional, onboarding. Free tier 3,000 emails/mo sufficient for <1K users. Pro tier $20/mo (50K emails) at scale. Modern DX, React Email templates, excellent deliverability. Cloudflare handles web hosting (free)."
Design & UX,App Preview Video (Optional),Fixed,One-time,All, $-   , $0-1000 ,$200 ,Post-launch,"AI-assisted: CapCut AI, Runway ($0-100) to professional ($500-1000). High ROI for conversions."
Operations & Admin,Payment Processing (Stripe - Web),Variable,Ongoing,All,2.9% + $0.30, $-   ,% of revenue,Web launch,For web subscriptions via FEAT-38. Cloudflare Pages/Workers for hosting (free). Plus international card fees.
Operations & Admin,Miscellaneous Operational Expenses,Variable,Ongoing,All, $100-200 , $-   ,"$1,800 ",Ongoing,"Supplies, software licenses, unexpected operational costs. Buffer category."
Philosophical/Clinical,Premeditatio Malorum Safety Validation,Fixed,One-time,All, $-   ,$400 ,$400 ,Pre-launch,Clinical safety review by LMFT/psychologist for negative visualization practices.
Professional Development,Stoic Philosophy Resources,Fixed,Ongoing,All, $-   ,$100 ,$100 ,Ongoing,"Books, academic journals, online courses on Stoicism."
Technology Infrastructure,Domain Name (.app or .com),Fixed,Ongoing,All, $-   ,$35 ,$35 ,Web launch,Required for web app and professional email. Annual renewal.
Testing & QA,User Research Tools,Fixed,Ongoing,5K+ users, $0-99 , $-   ,$0 ,5K users,AI-first: Free surveys + AI analysis. Scale to Maze/UserTesting ($99/mo) at 10K+ users.
Business Development,Industry Memberships,Fixed,Ongoing,All, $-   ,$200 ,$200 ,Post-revenue,"Mental Health America, philosophy associations. Post-revenue. Optional."
Compliance & Security,SOC 2 Certification,Fixed,Ongoing,All, $-   , $15000-50000 ,"$32,500 ",B2B pivot,NOT needed for consumer app. Only if pursuing B2B/enterprise healthcare partnerships.
Design & UX,Icon & Asset Libraries,Fixed,Ongoing,All,$10.00 , $-   ,$120 ,Optional,"Noun Project, IconScout. Optional - React Native Vector Icons (FREE) sufficient."
Marketing & Growth,Events & Webinars,Fixed,Ongoing,All, $0-250 , $-   ,$0 ,Post-revenue,"User-facing events. $0 pre-revenue (YouTube Live, Zoom free). Scale post-revenue."
Operations & Admin,Employment Practices Liability (EPL),Fixed,Ongoing,All, $-   ,$500 ,$500 ,Hiring,Only needed when hiring employees. Not relevant to solo dev model.
Philosophical/Clinical,Philosophical Advisor,Fixed,Ongoing,All, $-   ,$500 ,$500 ,Optional,Periodic consultation for classical source interpretation. Optional.
Professional Development,Mental Health/Philosophy Conferences,Fixed,Ongoing,All, $-   ,"$2,000 ","$2,000 ",Optional,"Stoic Week, mental health conferences. Travel + registration. Optional."
Team & Contractors,Support Agent (0.5 FTE),Variable,Ongoing,10K+ users, $-   , $-   ,$0 ,10K users,"AI-augmented support: AI handles Tier 1, human for Tier 2 escalations and sensitive mental health concerns. ~20 hrs/week at $15-25/hr. Estimated $15,000-25,000/yr when triggered."
Team & Contractors,Part-time Developer,Variable,Ongoing,25K+ users, $-   , $-   ,$0 ,25K users,"Project-based for specific expertise (advanced animations, native modules). $50-150/hr, ~5-10 hrs/week during projects. Estimated $5,000-15,000/yr when triggered. Can likely avoid with AI tools."
Team & Contractors,Part-time Designer,Variable,Ongoing,All, $-   , $-   ,$0 ,As needed,"Project-based for app redesign, marketing materials. $50-100/hr. Estimated $2,000-5,000/yr when triggered. Can DIY with AI tools (Midjourney, Figma AI)."
Team & Contractors,Part-time Product Manager,Variable,Ongoing,50K+ users, $-   , $-   ,$0 ,50K users,"User research, roadmap, feature prioritization. $75-150/hr, ~10-15 hrs/week. Estimated $15,000-25,000/yr when triggered. Very unlikely for solo app."
