Cost Category,Cost Description,Cost Type,User Tier,Confidence,Notes
Technology Infrastructure,Expo EAS Build (Production Plan),Fixed,All,High,Currently using free tier. Production plan $99/mo for unlimited builds. Critical for iOS/Android deployment.
Technology Infrastructure,Expo EAS Update (OTA Updates),Variable,All,Medium,Currently using free tier. Costs scale with update frequency and user base.
Technology Infrastructure,Supabase Database & Storage (Free Tier),Fixed,0-5K,High,Currently on free tier: 500MB DB + 2GB bandwidth/month. Supports ~5K users / ~150 DAU.
Technology Infrastructure,Supabase Pro Tier,Fixed,5K-50K,High,"$25/mo. Upgrade when exceeding 500MB DB or 2GB bandwidth. 8GB DB, 50GB bandwidth, 500K edge function invocations."
Technology Infrastructure,Supabase Team/Enterprise Tier,Fixed,50K+,Medium,"$599+/mo. For enterprise scale. Custom pricing, dedicated support."
Technology Infrastructure,Supabase Edge Functions,Variable,All,High,Included in free tier (50K invocations/mo). Used for Apple/Google receipt verification.
Technology Infrastructure,GitHub (Version Control),Fixed,All,High,"Currently free (personal). Team ($4/user/mo) or Enterprise ($21/user/mo) if expanding team."
Technology Infrastructure,Development Tools (TypeScript/Node/Jest),Fixed,All,High,$0. All free/open-source tools.
Technology Infrastructure,SSL & Security Certificates,Fixed,All,High,$0. Included with Expo + Supabase. Apple Developer Program includes certificates.
Technology Infrastructure,CDN & Media Delivery,Fixed,All,Low,Not currently needed. Static assets bundled with app. Future if web content delivery needed.
Technology Infrastructure,Monitoring & Error Tracking (Sentry),Fixed,All,Medium,"Not currently implemented. Recommended at 1K+ users. $26-80/mo (Team: 50K events, Business: 250K events)."
Technology Infrastructure,AI API Costs (GPT-4/Claude),Variable,All,Low,No AI integrations in current codebase. Future feature only if planned.
Clinical/Philosophical Content,Philosophical Advisor (Stoic Mindfulness),Fixed,All,Low,"PIVOT from Clinical Advisor. Validate Stoic principles, classical sources (Marcus Aurelius, Epictetus, Seneca). Low confidence - classical texts widely available."
Clinical/Philosophical Content,Content Development (Stoic Practices),Fixed,All,Medium,"Ongoing content for 13 Stoic principles, virtue practices, educational modules. Philosophical accuracy validation."
Clinical/Philosophical Content,Content Updates (New Practices/Modules),Fixed,All,Medium,Ongoing updates to Stoic Mindfulness content based on user feedback and principle progression.
Clinical/Philosophical Content,Philosophical Accuracy Review,Fixed,All,Low,"Peer review for Stoic philosophical accuracy. May use academic consultants. Low confidence - community review possible."
Clinical/Philosophical Content,Crisis Protocols (PHQ-9/GAD-7),Fixed,All,High,"CRITICAL. Crisis detection thresholds (PHQ≥15, PHQ≥20, GAD≥15). 988 integration. Always free to user, always available."
Clinical/Philosophical Content,Crisis Protocol Updates,Variable,All,High,Updates to crisis detection algorithms and safety protocols as clinical standards evolve.
Compliance & Security,HIPAA Compliance Consultation,Fixed,All,Medium,"BAA-Free design (no PHI transmitted). Initial consultation for architecture validation. $0-5K for audit/consultation."
Compliance & Security,Privacy Law Compliance (CCPA/VCDPA/GDPR),Fixed,All,High,"Privacy policy maintenance, user rights implementation (access, delete, portability). Legal review required."
Compliance & Security,Legal Counsel (Privacy/Terms),Fixed,All,High,"Ongoing legal review for privacy policy, terms of service, data retention policy, consent frameworks."
Compliance & Security,Terms & Privacy Policy Updates,Fixed,All,High,Regular updates to legal documents as laws change (CCPA, VCDPA, GDPR, etc.).
Compliance & Security,Security Audits,Fixed,All,Medium,"Periodic security audits for encryption implementation (AES-256-GCM), key rotation, data minimization."
Compliance & Security,Cyber Insurance,Fixed,All,Medium,"Coverage for mental health app with encrypted PHI. Cost depends on coverage amount and user base."
Compliance & Security,SOC 2 Certification,Fixed,All,Low,"Not mentioned in current compliance docs. Likely only needed for B2B enterprise sales. $15K-50K annually."
Compliance & Security,App Store Privacy Compliance,Fixed,All,High,"Apple Privacy Nutrition Label, Google Data Safety Section. Review and updates as policies change."
Customer Support,Support Tools (Zendesk/Intercom),Fixed,All,Medium,"Not currently integrated. Recommended at 5K+ users or $50K MRR. $49-99/agent/mo (Zendesk Suite)."
