CONFIDENCE LEVEL DEFINITIONS,,,,,,,,,
,Critical,"Cannot operate/launch without it. Required for legal compliance, core infrastructure, or safety-critical features. Budget immediately (0-3 months).",,,,,,,
,High,"Needed for quality, compliance, or scale. Professional services at user milestones. Plan within 6-12 months or triggered by growth.",,,,,,,
,Medium,"Beneficial but timing is flexible. Marketing tools (wait for revenue), enhanced features, professional services (can DIY initially). Plan 12-24 months or revenue-triggered.",,,,,,,
,Low,"Speculative or far-future. Enterprise features, international expansion, significant team scaling. Consider only at 24+ months or major pivot.",,,,,,,
,,,,,,,,,
Cost Category,Cost Description,Cost Type,Frequency,User Tier,Monthly Cost,Annual Cost,Calculated Annual Cost,Confidence,Notes
Technology Infrastructure,AI Coding Assistant (Cursor/Claude),Fixed,Ongoing,All, $200.00 , $240-480 ," $2,400.00 ",Critical,PRIMARY development tool for single developer + AI-assisted model. Currently in use. Essential for productivity.
Technology Infrastructure,Expo EAS Build (Production Plan),Fixed,Ongoing,All, $99.00 ," $1,188.00 "," $1,188.00 ",Critical,Required for production deployment. Includes unlimited builds + EAS Update (OTA). No separate OTA cost.
Technology Infrastructure,Supabase Database & Storage (Free Tier),Fixed,Ongoing,0-10K users, $-   , $-   , $-   ,Critical,500MB DB + 2GB bandwidth/month. Current tier. Supports ~10K users / ~300 DAU due to offline-first design.
Technology Infrastructure,Supabase Pro Tier,Fixed,Ongoing,10K-100K users, $25.00 , $300.00 , $300.00 ,High,8GB DB + 50GB bandwidth + 2M edge function invocations. Milestone-based upgrade when exceeding free tier.
Technology Infrastructure,Supabase Team Tier,Fixed,Ongoing,100K+ users, $599.00 ," $7,188.00 "," $7,188.00 ",Low,Only needed if BAA required (architecture pivot) or >100GB bandwidth. Unlikely with current privacy-first design.
Technology Infrastructure,Bandwidth Overage Buffer,Variable,Ongoing,10K-50K users, $10-50 , $120-600 ,#VALUE!,Medium,Contingency for Supabase bandwidth spikes. Monitor usage and implement rate limiting.
Technology Infrastructure,GitHub (Version Control),Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,Currently in use. Free for single developer. Upgrade to Team ($4/user/mo) only when hiring.
Technology Infrastructure,GitHub Actions (CI/CD - Free Tier),Fixed,Ongoing,0-5K users, $-   , $-   , $-   ,Critical,Current tier. 2000 minutes/month sufficient for ~100 commits/month. Includes all test automation.
Technology Infrastructure,GitHub Actions (Paid Tier),Fixed,Ongoing,5K-50K users, $12-20 , $144-240 ,#VALUE!,High,When exceeding 2000 min/mo (~200 commits/month). Alternative: Self-hosted runners on $5/mo VPS.
Technology Infrastructure,Domain Name (.app or .com),Fixed,Ongoing,All, $1-2 , $12-25 ,#VALUE!,Medium,Required for FEAT-38 (web subscriptions) and professional email. Annual renewal. Can defer until web feature.
Technology Infrastructure,Development Tools (TypeScript/Node/Jest),Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,"Currently in use. All free/open-source tools. Includes VS Code extensions, Prettier, ESLint."
Technology Infrastructure,Monitoring & Error Tracking (Sentry - Free),Fixed,Ongoing,0-1K users, $-   , $-   , $-   ,High,5K events/month. Implement at 500-1K users for production stability. Critical for production readiness.
Technology Infrastructure,Monitoring & Error Tracking (Sentry - Team),Fixed,Ongoing,1K-10K users, $29.00 , $348.00 , $348.00 ,High,50K events/month. Milestone-based upgrade. Updated 2025 pricing (was $26/mo).
Technology Infrastructure,Monitoring & Error Tracking (Sentry - Business),Fixed,Ongoing,10K-100K users, $99.00 ," $1,188.00 "," $1,188.00 ",Medium,500K events/month. Later milestone. Updated 2025 pricing (was $80/mo).
Technology Infrastructure,SSL & Security Certificates,Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,Included with Expo + Supabase. Required for app operation. Apple Developer Program includes certificates.
Philosophical/Clinical Content,Philosophical Advisor (Stoic Mindfulness),Fixed,Ongoing,All, $0-500 , $0-6000 ,#VALUE!,High,"Periodic consultation (quarterly/bi-annually) for classical source interpretation, framework integrity validation, prevents pop-philosophy dilution. NOT continuous FTE."
Philosophical/Clinical Content,Content Development (Stoic Practices),Fixed,One-time,All, $-   , $-   , $-   ,Critical,"Solo developer + philosopher agent validation for 5 core principles, 4 developmental stages. Your time = $0 in model. Initial core product content development."
Philosophical/Clinical Content,Content Updates (New Practices/Modules),Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,"CRITICAL for supporting user progression through developmental stages (Fragmented → Effortful → Fluid → Integrated). Ongoing content evolution. Essential, not optional."
Philosophical/Clinical Content,Philosophical Accuracy Review,Fixed,Ongoing,All, $0-400 , $0-4800 ,#VALUE!,Critical,"CRITICAL for framework integrity. Validates classical accuracy (Marcus Aurelius, Epictetus, Seneca), prevents pop-philosophy dilution. Required for all major content updates. Quarterly review recommended."
Philosophical/Clinical Content,Developmental Stage Assessment Tools,Fixed,One-time,All, $-   , $-   , $-   ,Critical,11 development markers for tracking user progress through 4 stages. Critical for personalization. Initial development time (your time).
Philosophical/Clinical Content,Neuroscience Integration Updates,Variable,Ongoing,All, $-   , $-   , $-   ,Medium,"Updates to neuroscience justification (DMN, attention networks) as research evolves. Maintains scientific credibility but timing flexible."
Philosophical/Clinical Content,Premeditatio Malorum Safety Validation,Fixed,One-time,All, $0-300 , $0-3000 ,#VALUE!,Critical,Safety validation for Stoic negative visualization practices. CRITICAL for vulnerable users (GAD≥15). Clinical + philosophical review required before launch. One-time pre-launch validation.
Philosophical/Clinical Content,Crisis Protocols (PHQ-9/GAD-7),Fixed,One-time,All, $-   , $-   , $-   ,Critical,"CRITICAL. Initial implementation of crisis detection thresholds (PHQ≥15, PHQ≥20, GAD≥15) and 988 integration. Development/setup time (your time). Always free to user, always available. No external costs."
Philosophical/Clinical Content,Crisis Protocol Updates,Variable,Ongoing,All, $-   , $-   , $-   ,High,Updates to crisis detection algorithms and safety protocols as clinical standards evolve. Your time. Quality maintenance.
Philosophical/Clinical Content,Clinical Assessment Validation,Fixed,One-time,All, $-   , $-   , $-   ,Critical,"PHQ-9/GAD-7 implementation accuracy validation (100% required), crisis threshold verification. Automated testing covers this. Launch requirement."
Compliance & Security,HIPAA Compliance Consultation (BAA-Free Validation),Fixed,One-time,All, $-   , $2500-5000 , $2500-5000 ,Critical,"ONE-TIME legal counsel confirmation that NO PHI transmitted, eliminating BAA requirements. Critical success factor unlocking $108K-326K savings over 5 years. Pre-launch."
Compliance & Security,Privacy Law Compliance (Initial Setup),Fixed,One-time,All, $-   , $3000-8000 , $3000-8000 ,Critical,"CCPA/VCDPA/GDPR privacy policy drafting, state-specific compliance review (CA/VA/CO), consent framework design. Required for App Store launch."
Compliance & Security,Privacy Law Compliance (Ongoing),Variable,Ongoing,All, $83-250 , $1000-3000 ,#VALUE!,High,"Quarterly privacy policy reviews, state law updates monitoring, annual comprehensive review. Ongoing compliance maintenance."
Compliance & Security,Legal Counsel (Initial Setup),Fixed,One-time,All, $-   , $5000-10000 , $5000-10000 ,Critical,"Terms of Service drafting, Privacy Policy (mental health specific), Data Retention Policy. Required for App Store launch."
Compliance & Security,Legal Counsel (Ongoing),Variable,Ongoing,All, $167-417 , $2000-5000 ,#VALUE!,High,"Quarterly reviews, ad-hoc consultations, regulatory change reviews. Hourly rate model more cost-effective than retainer for solo dev."
Compliance & Security,Terms & Privacy Policy Updates,Variable,Ongoing,All, Included , Included ,#VALUE!,High,Included in Legal Counsel (Ongoing) costs. Regular maintenance as laws evolve.
Compliance & Security,Security Audits (Pre-Launch),Fixed,One-time,All, $-   , $5000-15000 , $5000-15000 ,Critical,"Pre-launch security review, encryption implementation validation (AES-256-GCM), PHI exclusion validation. Launch requirement."
Compliance & Security,Security Audits (Annual),Variable,Ongoing,All,, $3000-8000 , $3000-8000 ,High,"Annual security audit, post-major-release reviews. Every 18-24 months after Year 1. Quality and compliance maintenance."
Compliance & Security,Cyber Insurance,Fixed,Ongoing,All, $83-250 , $1000-3000 ,#VALUE!,High,"Data breach ($1M), privacy liability ($1M), network security ($500K). Annual premiums. ADVISABLE for mental health app despite BAA-free design. Scales: $800-1500 (0-5K users), $1500-2500 (5K-50K), $2500-5K (50K+)."
Compliance & Security,SOC 2 Certification,Fixed,Ongoing,All, $-   , $15000-50000 , $15000-50000 ,Low,NOT needed for consumer app. Annual certification cost if pursuing B2B/enterprise healthcare partnerships. Verify Supabase has SOC 2 Type II (no cost to Being).
Compliance & Security,App Store Privacy Compliance (Initial),Fixed,One-time,All, $-   , $500-2000 , $500-2000 ,Critical,"Privacy Nutrition Label (Apple), Data Safety Section (Google). Launch requirement. Primarily developer time (8-16 hours)."
Compliance & Security,App Store Privacy Compliance (Ongoing),Variable,Ongoing,All, $25-83 , $300-1000 ,#VALUE!,High,"Quarterly review for policy changes, updates for new app features. Developer time (2-4 hours/quarter). Ongoing compliance."
Compliance & Security,User Consent Management System (Implementation),Fixed,One-time,All, $-   , $1000-3000 , $1000-3000 ,Critical,"Affirmative opt-in consent UI (CCPA/VCDPA requirement for sensitive health data), consent audit trail, legal review of consent language. Launch requirement."
Compliance & Security,User Consent Management System (Ongoing),Variable,Ongoing,All, $17-42 , $200-500 ,#VALUE!,Medium,"Consent flow A/B testing, consent language updates. Optimization not critical path."
Compliance & Security,Data Breach Response Planning (Initial),Fixed,One-time,All, $-   , $2000-5000 , $2000-5000 ,High,"Incident response plan development, breach notification templates, vendor breach coordination procedures. Should have before significant user base."
Compliance & Security,Data Breach Response Planning (Ongoing),Variable,Ongoing,All, $42-125 , $500-1500 ,#VALUE!,Medium,"Annual IR plan testing, plan updates for regulatory changes. Can reduce cyber insurance premiums by 10-20%."
Compliance & Security,Compliance Monitoring Tools,Fixed,One-time,All, $-   , $0-1000 , $0-1000 ,High,"k-anonymity validation library, differential privacy implementation, PHI detection system. Tooling cost: $0-1000 (OSS libraries). Development time AI-accelerable. Quality assurance."
Compliance & Security,State Mental Health App Regulations (Research),Fixed,One-time,All, $-   , $1000-3000 , $1000-3000 ,Medium,"State-by-state regulatory analysis, mental health-specific app requirements (CA, NY, IL). Can phase by state of initial users."
Compliance & Security,State Mental Health App Regulations (Monitoring),Variable,Ongoing,All, $42-125 , $500-1500 ,#VALUE!,Medium,"State regulatory change tracking, compliance updates for new states. Scales with geographic expansion."
Customer Support,Support Tools (Zendesk),Fixed,Ongoing,5K+ users, $49-99 , $588-1188 ,#VALUE!,Medium,NOT currently integrated. Recommended at 5K+ users or $50K MRR. Zendesk Suite Team $49/agent/mo to Professional $99/agent/mo.
Customer Support,Support Agent (0.5 FTE),Variable,Ongoing,5K+ users, $-   , $-   , $-   ,Medium,"Part-time support for user inquiries, technical issues. Scales with user base. Trigger: 5K users."
Customer Support,Crisis Hotline Integration (988),Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,FREE government service. Native integration via tel: link. No external partnership needed. Continuous availability. Safety-critical feature.
Customer Support,Email/Onboarding Automation,Fixed,Ongoing,1K+ users, $15-50 , $180-600 ,#VALUE!,Medium,NOT currently implemented. Recommended for user retention. SendGrid Essentials $15/mo (40K emails) to Mailchimp $50/mo. Revenue-dependent.
Customer Support,Knowledge Base / Help Center,Fixed,One-time,All, $-   , $-   , $-   ,Low,"Future feature. In-app help, FAQs, troubleshooting guides. Development time (your time). Nice-to-have."
Marketing & Growth,SEO & Content Marketing,Fixed,Ongoing,All, $-   , $-   , $-   ,Medium,No current marketing infrastructure. Future pre-launch and ongoing content creation. Your time. Timing flexible.
Marketing & Growth,Paid Acquisition (Ads),Variable,Ongoing,All, $-   , $-   , $-   ,Low,"No current ad SDK integration. Future if growth strategy includes paid channels (Apple Search Ads, Google, Meta). Budget when CAC economics justify."
Marketing & Growth,Email Marketing Platform,Variable,Ongoing,1K+ users, $15-50 , $180-600 ,#VALUE!,Medium,"Overlap with Email/Onboarding Automation. Same tools (SendGrid, Mailchimp). 1K+ user milestone."
Marketing & Growth,Analytics Tools (Privacy-First),Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,"ZERO COST. Custom privacy-preserving analytics (BAA-free, differential privacy ε=0.1, k-anonymity k≥5). NO third-party vendors (Amplitude, Mixpanel). Saves $2000-5000/month. Currently implemented."
Marketing & Growth,Marketing Attribution,Variable,Ongoing,All, $-   , $-   , $-   ,Low,"NO attribution SDKs (Adjust, AppsFlyer, Branch). Privacy-first strategy. Future low priority."
Marketing & Growth,Affiliate Program,Variable,Ongoing,All, $-   , $-   , $-   ,Low,Not in current codebase. Future feature if monetization strategy includes affiliates.
Marketing & Growth,Events & Webinars,Fixed,Ongoing,All, $0-500 , $0-6000 ,#VALUE!,Low,"Future marketing channel. Annual conference sponsorships, virtual events for Stoic Mindfulness education. Professional development overlap."
Operations & Admin,Accounting & Bookkeeping (Base),Fixed,Ongoing,All, $100-500 , $1200-6000 ,#VALUE!,Critical,"Business accounting services, tax preparation, financial reporting. Required for business operation."
Operations & Admin,Accounting & Bookkeeping (Variable),Variable,Ongoing,All, $0-200 , $0-2400 ,#VALUE!,High,"Additional accounting for increased transaction volume, payroll, etc. Scales with complexity."
Operations & Admin,Payment Processing (Apple IAP Commission),Variable,Ongoing,All, 15-30% of revenue , N/A ,#VALUE!,Critical,"15% (subscriptions after year 1 for retained subscribers), 30% (monthly subscriptions). NOT separate processing fee, taken from revenue. Core revenue model."
Operations & Admin,Payment Processing (Google Play Commission),Variable,Ongoing,All, 15-30% of revenue , N/A ,#VALUE!,Critical,"15% (first $1M revenue/year), 30% (after $1M revenue/year). NOT separate processing fee. Core revenue model."
